rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
1,1108300348,C2004186,C2004193,가금제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2007-12-27,2012-12-26,20121226,1,완료공사,102,하천,하성면 시암리~월곶면 용강리
2,1108300348,C2019022,C2019029,가금제 제방복구공사 건설사업관리용역,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2019-12-16,2021-12-04,20211204,1,완료공사,102,하천,경기도 김포시 애기봉로 802~
3,4038301161,C2003095,C2003095,가남제 개수공사,I,익산청,D1,섬진강,전라북도 순창군,J1,동진강,03,2003-07-07,2007-07-06,20070706,1,완료공사,102,하천,인계면 쌍암리~순창읍 장덕리
4,2248301909,C2003142,C2003142,가사-문곡 도로건설공사,W,원주청,038,국도 38호선(서산 ~ 동해),강원도 정선군,C,산업지원국도,00,2003-10-13,2008-12-10,20081210,1,완료공사,101,도로,정선군 신동읍 가사리~정선군 남면 문곡리
5,6048300784,C1997009,C1997009,가산-상림 도로4차선 확장 및 포장공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상북도 칠곡군,B,지역간선,08,1997-02-27,2006-02-19,20060219,1,완료공사,101,도로,경상북도 칠곡군 가산면 천평리~경상북도 구미시 장천면 상림리
6,1108300348,C2004031,C2004031,가월리배수펌프장설치공사,S,서울청,R1,임진강,경기도 파주시,R1,임진강,01,2004-05-13,2008-12-31,20081231,1,완료공사,102,하천,~
7,2248301909,C2003112,C2003112,간성-현내 도로건설공사,W,원주청,007,국도 7호선(부산 ~ 온성 (간성)),강원도 고성군,B,지역간선,00,2003-06-12,2016-12-31,20161231,1,완료공사,101,도로,강원도 고성군 간성읍 상리~고성군 현내면 대진리
8,3068301763,C2005069,C2005073,갈산-해미(서천판교우회) 도로건설공사,D,대전청,026,국도 26호선(군산 ~ 대구),충청남도 서천군,A,일반국도,01,2005-12-20,2014-07-23,20140723,1,완료공사,101,도로,충남 서천군 문곡리~충남 서천군 복대리
9,6048300784,C2009055,C2009067,감천 김천지구 하천개수공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2009-02-24,2012-12-20,20130202,1,완료공사,102,하천,김천시 조마면 장암리~김천시 개령면 동부리
10,6048300784,C2012010,C2012010,감천 대광지구 하천환경정비사업,B,부산청,B1,낙동강,경상북도 김천시,Z1,기타,01,2012-02-10,2015-10-18,20151018,1,완료공사,102,하천,신음제~대광제
11,6048300784,C2013937,C2013937,감천 수해복구공사,B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,01,2013-03-18,2014-02-10,20140210,1,완료공사,102,하천,하상유지공~양천2제
12,6048300784,C2015006,C2015020,감천 습례지구 수해복구공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2015-03-16,2018-12-28,20190222,1,완료공사,102,하천,경북 구미시 고아읍 횡산리~김천시 감문면 태촌리
13,6048300784,C2015008,C2015021,감천 신림지구 수해복구공사,B,부산청,B1,낙동강,경상북도 김천시,Z1,기타,미등록,2015-03-16,2020-07-02,20200610,1,완료공사,102,하천,경북 김천시 지좌동~경북 김천시 감문면 태촌리
14,6048300784,C2015009,C2015022,감천 신안지구 수해복구공사,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2015-03-16,2019-07-22,20190222,1,완료공사,102,하천,경북 김천시 구성면 광명리~경북 김천시 지좌동
15,6048300784,C2004091,C2004091,감천 아포지구 하천개수공사,B,부산청,B1,낙동강,경상북도 김천시,B1,낙동강,01,2004-12-28,2011-12-31,20111231,1,완료공사,102,하천,경북 김천시 신음동~경북 구미시 해평면
16,6048300784,C2012022,C2012011,감천 지좌지구 하천환경정비사업,B,부산청,Z1,기타,경상북도 김천시,Z1,기타,01,2012-02-10,2015-10-30,20151030,1,완료공사,102,하천,경북 김천시 지좌동~경북 김천시 지좌동
17,6048300784,C2015007,C2015023,감천 황산지구 수해복구공사,B,부산청,Z1,기타,경상북도 구미시,Z1,기타,01,2015-03-16,2019-02-22,20190222,1,완료공사,102,하천,경북구미시선산읍북산리~경북구미시선산읍원리
18,6048300784,C2002006,C2002006,감천-예천 국도확장공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 예천군,B,지역간선,10,2002-11-01,2009-12-29,20091229,1,완료공사,101,도로,경북 예천읍 감천면 포리~경북 예천군 예천읍 청복리
19,6048300784,C2003011,C2003011,감천지구 하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,01,2003-05-12,2005-12-26,20051226,1,완료공사,102,하천,~
20,6048300784,C2009042,C2009056,감포-구룡포 국도건설공사,B,부산청,031,국도 31호선(부산 ~ 신고산),경상북도 경주시,A,일반국도,00,2009-04-15,2018-10-18,20180930,1,완료공사,101,도로,경북.경주.감포.나정~경북.경주.감포.오류
21,3068301763,C2005032,C2005013,강경지구 하천환경정비사업,D,대전청,C1,금강,충청남도 논산시,C1,금강,03,2005-06-27,2011-06-06,20110606,1,완료공사,102,하천,~
