ofcNm,rutNm,fctKdCd,fctKdNm,fctCfCd,fctCfNm,fcno,fctNm,lctNm,ccwDt,dgnBgDt,dgnEdDt,dgcoNm,cwkBgDt,cwkEdDt,cstCmpNm,cwkNm,totCtco,xtsLen,xtsHg,xtsSpanCo,xtsMaxSpanLen,ftptBdt,rdwyBdt,alBdt,uplnCrtrCo,godnCrtrCo,crtrStoCo,prmsPssnLwgt,upstSpanCmpsVl,bdsfAbscNm,railngAbscNm,brdgBrktAbscNm,xpsjAbscNm,curbAbscNm,dpltAbscVl,mngdAbscVl,dgldVlCn,upstMspFrmCdCn,upstSbSpanFrmAbrNmCn,upstBrdgBrktFrmCdCn,upstXpsjFrmCdCn,lwstPierFrmCdCn,lwstPierBsCdCn,lwstBrpsFrmCdCn,tnnlXtsLen,tnnlHg,tmnsSlpeVl,algnRdcvVl,dtsbXn,ivrtInstXn,rprsFormCdCn,rprsMnCnmtCdCn,rprsAssCnmtCdCn,rprsDrnFrmCdCn,rprsPtnnFrmNmCn,albdt,bdsfabscnm,brdgbrktabscnm,ccwdt,crtrstoco,cstcmpnm,curbabscnm,cwkbgdt,cwkeddt,cwknm,dgconm,dgldvlcn,dgnbgdt,dgneddt,dpltabscvl,fctcfcd,fctcfnm,fctkdcd,fctkdnm,fctnm,ftptbdt,godncrtrco,index,lctnm,lwstbrpsfrmcdcn,lwstpierbscdcn,lwstpierfrmcdcn,mngdabscvl,ofcnm,prmspssnlwgt,railngabscnm,rdwybdt,rutnm,totctco,uplncrtrco,upstbrdgbrktfrmcdcn,upstmspfrmcdcn,upstsbspanfrmabrnmcn,upstspancmpsvl,upstxpsjfrmcdcn,xpsjabscnm,xtshg,xtslen,xtsmaxspanlen,xtsspanco,algnrdcvvl,dtsbxn,ivrtinstxn,rprsasscnmtcdcn,rprsdrnfrmcdcn,rprsformcdcn,rprsmncnmtcdcn,rprsptnnfrmnmcn,tmnsslpevl,tnnlhg,tnnlxtslen,drnfrmcdcn,totcrtrco
,,,,,,017F2520A338CB0F98899109C3F1E127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,아스팔트,,2021-12-31,4.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,복죽1교,0.0,2.0,0.0,전북 김제시 명덕동 580-6,라멘식,기타,기타,STEEL,전주국토관리사무소,43.0,콘크리트,20.0,일반국도23호선,"135,875,500",2.0,없음,기타,기타,1@30=30,신축이음 없음,,,30.0,30.0,1.0,,,,,,,,,,,,,
,,,,,,017F25212C92C63041C749D8850C27F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,아스팔트,,2021-12-31,4.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,복죽2교,0.0,2.0,0.0,전북 김제시 복죽동 463-7,라멘식,기타,기타,RC,전주국토관리사무소,43.0,콘크리트,20.0,일반국도23호선,"135,875,500",2.0,없음,라멘교,라멘교,1@12=12,신축이음 없음,,,12.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,017F2521A0A3E80974D725F1B6DB68EF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,아스팔트,,2021-12-31,4.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,복죽3교,0.0,2.0,0.0,전북 김제시 복죽동 457-9,라멘식,기타,기타,RC,전주국토관리사무소,43.0,콘크리트,20.0,일반국도23호선,"135,875,500",2.0,없음,라멘교,라멘교,1@12=12,신축이음 없음,,,12.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,017F25224310A850FB962985F3EC1D60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,아스팔트,,2021-12-31,6.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,흥사1교,0.0,3.0,0.0,전북 김제시 흥사동 458-6,라멘식,기타,라멘식,RC,전주국토관리사무소,43.0,콘크리트,28.0,일반국도23호선,"135,875,500",3.0,없음,라멘교,라멘교,1@12=12,신축이음 없음,,,12.0,12.0,1.0,,,,,,,,,,,,,
,,,,,,017F2524A82A3053A24976923A690EA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,아스팔트,고무재,2021-12-31,4.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,하서교,0.0,2.0,0.0,김제시 백산면 하서리 106-15,역T형,기타,기타,PC,전주국토관리사무소,43.0,콘크리트,20.0,일반국도23호선,"135,875,500",2.0,고무받침,기타,기타,2@30=60,RubberTop조인트,고무재,,60.0,30.0,2.0,,,,,,,,,,,,,
,,,,,,017F252518748A0FACF1C149F048DDE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,아스팔트,고무재,2021-12-31,4.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,구산천교,0.0,2.0,0.0,전북 김제시 복죽동 236-31,역T형,,,PC,전주국토관리사무소,43.0,콘크리트,20.0,일반국도23호선,"135,875,500",2.0,일방향수평저항받침,기타,기타,1@48=48,모노셀조인트,고무재,,49.0,48.0,1.0,,,,,,,,,,,,,
,,,,,,017F25258CB91E0FC9DC76724724A61C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,아스팔트,고무재,2021-12-31,6.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,신곡교,0.0,3.0,0.0,전북 기제시 신곡동 287-19,역T형,,,PC,전주국토관리사무소,43.0,콘크리트,26.0,일반국도23호선,"135,875,500",3.0,일방향수평저항받침,기타,기타,1@30=30,모노셀조인트,고무재,,30.0,30.0,1.0,,,,,,,,,,,,,
,,,,,,017F25260DDEA338EC32DDFB9FD2CFA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,콘크리트,강재,2021-12-31,1.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,RC,2,2종,1,교량,연정램프A교,0.0,0.0,0.0,김제시 명덕동348-7,역T형,강재말뚝기초,T형교각,STEEL,전주국토관리사무소,43.0,콘크리트,7.0,일반국도23호선,"135,875,500",1.0,포트받침,강상자형교,강상자형교,3@40=105,기타,강재,,105.0,40.0,3.0,,,,,,,,,,,,,
,,,,,,017F252681D00D2698FDEF86CEA3BAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,아스팔트,고무재,2021-12-31,1.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,강상판,0,기타,1,교량,연정램프C교,0.0,1.0,0.0,전북 김제시 명덕동 624-1,역T형,,,PC,전주국토관리사무소,43.0,콘크리트,7.0,일반국도23호선,"135,875,500",0.0,일방향수평저항받침,기타,기타,1@40=40,모노셀조인트,고무재,,40.0,40.0,1.0,,,,,,,,,,,,,
,,,,,,017F25283F6DC4C519F54D1621E9C768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,아스팔트,강재,2021-12-31,1.0,에스케이에코플랜트(주),콘크리트,2009-06-29,2021-12-31,김제시관내 국도대체우회도로(흥사-연정)건설공사,(주)동일,DB-24,2001-07-01,2003-05-31,RC,0,기타,1,교량,신곡램프C교,0.0,1.0,0.0,전북 김제시,,,,STEEL,전주국토관리사무소,34.0,콘크리트,7.0,일반국도23호선,"135,875,500",0.0,없음,강상자형교,,1@53=35,신축이음 없음,고무재,,35.0,53.0,1.0,,,,,,,,,,,,,
