ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F2520A338CB0F98899109C3F1E127,복죽1교,흥사~연정,전북 김제시 명덕동 580-6,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F25212C92C63041C749D8850C27F0,복죽2교,흥사~연정,전북 김제시 복죽동 463-7,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F2521A0A3E80974D725F1B6DB68EF,복죽3교,흥사~연정,전북 김제시 복죽동 457-9,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F25224310A850FB962985F3EC1D60,흥사1교,흥사~연정,전북 김제시 흥사동 458-6,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F2524A82A3053A24976923A690EA9,하서교,흥사~연정,김제시 백산면 하서리 106-15,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F252518748A0FACF1C149F048DDE7,구산천교,흥사~연정,전북 김제시 복죽동 236-31,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F25258CB91E0FC9DC76724724A61C,신곡교,흥사~연정,전북 기제시 신곡동 287-19,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,2,2종,017F25260DDEA338EC32DDFB9FD2CFA2,연정램프A교,흥사~연정,김제시 명덕동348-7,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F252681D00D2698FDEF86CEA3BAB2,연정램프C교,흥사~연정,전북 김제시 명덕동 624-1,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F25283F6DC4C519F54D1621E9C768,신곡램프C교,흥사~연정,전북 김제시,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F2528B4559D9301445A72A86CA350,신곡램프D교,흥사~연정,전북 김제시,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F25293BAD9CF86706B714FA809DA2,신곡램프G교,흥사~연정,전북 김제시,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F2529B176518CD178B7E35156C846,신곡램프H교,흥사~연정,전북 김제시,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F252A645BC823DA30560A8759FD30,흥사램프A교,흥사~연정,전북 김제시 흥사동 453-8,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42023,일반국도23호선,1,교량,0,기타,017F251FED9EB079AB33F9C412F5B472,명덕교,흥사~연정,전북 김제시 명덕동 401-11번지,2021-12-31,에스케이에코플랜트(주),김제시관내 국도대체우회도로(흥사-연정)건설공사
42,전주국토관리사무소,42017,일반국도17호선,2,터널,2,2종,017E760768827665D76E6EF49545E937,대둔터널,완주 봉동~충남도계,전라북도 완주군 운주면 산북리,2021-12-31,국동건설㈜외 2개사,국도17호선 대둔제 이설도로공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,2,2종,017F85E231B97AAB29D861998A16418B,봉한천교,구포~생곡2,구미시 고아읍 봉한리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85D9595BA5151568E0A85CDA9BD3,감천교(상),구포~생곡2,구미시 선산읍 원리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,3,지하차도,0,기타,017F86160538F2A0C61A86507433F0CB,선산지하차도,구포~생곡2,경상북도 구미시 선산읍 동부리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E9284B3565660555D59A038122,항곡육교3,구포~생곡2,구미시 고아읍 예강리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E8EFFCD5F84EDCF22DB654212A,송림RAMP-B교,구포~생곡2,구미시 고아읍 송림리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E879D23C263383D5DA77A7C0A4,송림RAMP-A교,구포~생곡2,구미시 고아읍 송림리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E6F4A28BC875BC0E80AB1FF14E,원리2교,구포~생곡2,구미시 선산읍 원리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E6B5C8AAEAF4700D91E5292D86,원리IC교,구포~생곡2,구미시 선산읍 원리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E6575E2E2013816DD473F72605,원리1교,구포~생곡2,구미시 선산읍 원리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E3D7CBA85539E153746C2E9060,예강IC교,구포~생곡2,구미시 고아읍 예강리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E37AA5F783403939F5E4F2FD69,항곡IC교,구포~생곡2,구미시 고아읍 항곡리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85E4FE8B20E50D73B8A478B0E132,아성교(상),구포~생곡2,구미시 고아읍 예강리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85E5547C61D45700798166BCB276,아성교(하),구포~생곡2,구미시 고아읍 예강리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85E5D4DA5686D5B97D74DA11DF14,감천교(하),구포~생곡2,구미시 선산읍  원리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85E7AE8FF83B27FE3D319954C30F,단계천교(상),구포~생곡2,구미시 선산읍 화조리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017F85E81BB7DD363DDFAA04276ADAC8,단계천교(하),구포~생곡2,구미시 선산읍 화조리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017F85E1B8C17492E5FC53CA0B1771CC,송림1교,구포~생곡2,구미시 고아읍 송림리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,2,2종,017F85E12B0D75AD75948EA1E91F5606,송림교,구포~생곡2,구미시 고아읍 송림리,2021-12-30,(주) 태 영 건 설,구미시관내 국도대체우회도로(구포-생곡2)건설공사
41,광주국토관리사무소,41001,일반국도1호선,1,교량,0,기타,017E091560A890B5CE4E19CDD7A4F721,오현RAMP-A교,장성~전북도계,전라남도 장성군 북이면 오월리,2021-12-04,산수건설㈜,국도1호선 장성 오월지구 교차로 개선공사
41,광주국토관리사무소,41001,일반국도1호선,1,교량,0,기타,017E09156D16B8E364A7E4A09000D84B,오현RAMP-B교,장성~전북도계,전라남도 장성군 북이면 오월리,2021-12-04,산수건설㈜,국도1호선 장성 오월지구 교차로 개선공사
22,강릉국토관리사무소,22046,일반국도46호선,1,교량,0,기타,017FB9D240108A36EBD2C146E1553F2B,진부2교,고성 간성~고성 간성,,2021-09-23,㈜진환,국도46호선 고성 진부2교 개축공사
51,대구국토관리사무소,51005,일반국도5호선,1,교량,0,기타,E673B64267C11C52E034080020A9316A,금화교(확),가산~효령,경상북도 칠곡군 가산면 금화리,2021-06-28,디케이개발(주),"국도5호선 금화교 개축공사  1992개축(칠곡방향), 2021 개축(대구방향)"
43,남원국토관리사무소,43030,일반국도30호선,1,교량,0,기타,017CA6AEB7677E0B85A84CF71E1E0503,평장교,임실진안군계~무주군계,,2021-06-24,서일건설㈜ 외 3개사,진안-성수(2공구) 도로건설공사
43,남원국토관리사무소,43030,일반국도30호선,1,교량,0,기타,017CA6AEB88C8FEC03085CACCE5D4DC0,송정교,임실진안군계~무주군계,,2021-06-24,서일건설㈜ 외 3개사,진안-성수(2공구) 도로건설공사
43,남원국토관리사무소,43030,일반국도30호선,1,교량,0,기타,017CA6AEB602B3130F2A9F5F062A217A,운교,임실진안군계~무주군계,,2021-06-24,서일건설㈜ 외 3개사,진안-성수(2공구) 도로건설공사
43,남원국토관리사무소,43030,일반국도30호선,1,교량,0,기타,017CA6AEA7C64D6A2F62ADB3FF20FCE1,은안교,임실진안군계~무주군계,,2021-06-24,서일건설㈜ 외 3개사,진안-성수(2공구) 도로건설공사
43,남원국토관리사무소,43030,일반국도30호선,1,교량,0,기타,017CA6AEB4EE17E3CFF395694EAC24FF,백운1교,임실진안군계~무주군계,,2021-06-24,서일건설㈜ 외 3개사,진안-성수(2공구) 도로건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B517E03419839DCDD85185CC89F02,거의 RAMP-E교,구포~생곡1,경상북도 구미시 구포동,2021-06-21,현대건설(주),구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017B51824ED2163051EB2D4AB3F265B2,양호육교,구포~생곡1,경상북도 구미시 양호동,2021-06-21,현대건설(주),구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,3,지하차도,0,기타,017B94EC8E1F67AEE2903F5AD034235B,양호지하차도,구포~생곡1,경상북도 구미시 양호동 ,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B5BE646FCD2F75FCD5ED0AE53AB04,한천2교(하행_구포방향),구포~생곡1,경상북도 구미시 거의동,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B5BE6B96501F8236A3BC70C8FFAA6,한천2교(상행_생곡방향),구포~생곡1,경상북도 구미시 거의동,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B5BE70E0BD65D01FEEE3327B1590F,한천3교(하행_구포방향),구포~생곡1,경상북도 구미시 구포동,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B5BE7709C23A7AD99F759F9BB5492,한천3교(상행_생곡방향),구포~생곡1,경상북도 구미시 구포동,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,1,1종,017B5BE7C20285F9DF67F8429764001C,양호대교,구포~생곡1,경상북도 구미시 양호동,2021-06-21,현대건설(주),구미시 관내 국도대체우회도로(구포-생곡1)건설공사
51,대구국토관리사무소,51033,일반국도33호선,1,교량,0,기타,017B5BEA02E68B4C0C12D73F54FC829C,다식1육교,구포~생곡1,경상북도 구미시 고아읍 다식리,2021-06-21,현대건설(주)외3개사,구미시 관내 국도대체우회도로(구포-생곡1)건설공사
