sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2010007,9,2019년,0,0,0,0,2016-10-14,2016-10-07,2016-10-07,-1.0
C2010007,8,2016년,0,0,0,0,2015-11-13,2015-11-13,2016-10-31,352.0
C2010007,7,2015년,199712,119712,0,80000,2016-07-31,2015-04-02,2015-09-30,180.0
C2010007,6,2015년,350000,350000,0,0,2015-04-30,2015-04-01,2015-04-30,28.0
C2010007,5,2016년,7783015808,7186166854,596848954,0,2015-01-01,2015-01-01,2015-03-02,59.0
C2010007,4,2014년,6452435560,6452435560,0,0,2012-04-20,2012-04-20,2014-12-31,984.0
C2010007,3,2012년,2000,2000,0,0,2012-01-01,2012-01-01,2012-12-31,364.0
C2010007,2,2011년,8000000000,8000000000,0,0,2011-01-01,2011-01-01,2011-12-31,363.0
C2010007,11,2019년,19660060,19646500,1230,12330,2018-01-01,2018-01-01,2022-12-31,1824.0
C2010007,10,2017년,0,0,0,0,2017-01-01,2017-01-01,2017-12-31,363.0
C2010007,1,2015년,10000000000,10000000000,0,0,2016-07-28,2010-03-16,2015-10-31,2054.0
C2010007,0,전체,58612554,58612554,0,0,2010-02-26,2010-03-16,2025-12-31,5768.0
C2013925,1,2017년,1170000000,1170000000,0,0,2015-01-01,2016-09-01,2017-01-31,151.0
C2013925,0,전체,10550000000,10000000000,500000000,50000000,2015-11-07,2011-11-01,2017-11-30,2220.0
C2004186,5,2011년,5696000000,4433711720,1262288280,0,2011-01-18,2011-01-21,2011-12-21,333.0
C2004186,4,2010년,6961000000,4956153000,2004847000,0,2010-01-26,2010-02-01,2010-12-31,332.0
C2004186,3,2009년,3200000000,2590316000,609684000,0,2008-12-30,2009-01-05,2009-12-23,351.0
C2004186,2,2008년,500000000,230351280,269648720,0,2008-02-21,2008-02-27,2008-02-22,-6.0
C2004186,1,2008년,1000000,1000000,0,0,2007-12-28,2007-12-28,2008-12-28,365.0
C2004186,0,전체,16458000000,12211532000,4246468000,0,2007-12-27,2007-12-27,2012-12-26,1825.0
C2019022,4,2022년,0,0,0,0,2022-03-07,2022-03-07,2022-04-21,44.0
C2019022,3,2021년,6779000000,4339308000,2439692000,0,2021-01-27,2021-01-27,2021-12-04,310.0
C2019022,2,2020년,5700000000,3132500000,2567500000,0,2020-03-19,2020-01-16,2020-12-30,348.0
C2019022,1,2020년,100000000,100000000,0,0,2019-12-12,2019-12-16,2019-12-24,7.0
C2019022,0,전체,10721000000,6770700000,3950300000,0,2019-12-12,2019-12-16,2021-12-04,718.0
C2003095,5,2007년,1665000000,1639000000,26000000,0,2007-02-12,2007-02-20,,313.0
C2003095,4,2006년,1700000000,1593700000,106300000,0,2006-02-22,2006-02-27,2006-10-23,237.0
C2003095,3,2005년,1985000000,1970000000,15000000,0,2005-02-01,2005-02-14,2005-12-20,308.0
C2003095,2,2005년,4953800000,3684000000,69800000,1200000000,2004-02-12,2004-02-14,2004-12-21,310.0
C2003095,1,2004년,1000000000,1000000000,0,0,2003-06-30,2003-07-07,2003-12-23,168.0
C2003095,0,전체,13952000000,13618000000,334000000,0,2003-06-30,2003-07-07,2007-07-06,1459.0
C2003142,3,2008년,65324681000,65324681000,0,0,2005-02-01,2005-02-07,,1401.0
C2003142,2,2004년,3000000000,3000000000,0,0,2004-02-12,2004-02-18,,316.0
C2003142,1,2003년,500000000,500000000,0,0,2003-10-09,2003-10-13,,78.0
C2003142,0,전체,68824681000,68824681000,0,0,2003-10-09,2003-10-13,2008-12-10,1884.0
C1997009,6,2006년,81209193000,81209193000,0,0,2001-02-13,2001-02-20,,1824.0
C1997009,5,2000년,5700000000,5700000000,0,0,2000-02-17,2000-02-21,2000-12-31,313.0
C1997009,4,1999년,6384000000,6384000000,0,0,1999-02-02,1999-02-04,1999-12-31,329.0
C1997009,3,1998년,3264000000,3264000000,0,0,1998-03-18,1998-03-23,1998-12-21,272.0
C1997009,2,1997년,1000000000,1000000000,0,0,1997-03-27,1997-04-02,1997-12-23,264.0
C1997009,1,1997년,100000000,100000000,0,0,1997-02-21,1997-02-27,1997-12-23,298.0
C1997009,0,전체,97657193000,97657193000,0,0,1997-02-21,1997-02-27,2006-02-19,3278.0
C2004031,5,2008년,4252048000,233211000,4008899000,9938000,2008-02-25,2008-02-27,2008-12-31,307.0
C2004031,4,2007년,3009420000,2204500000,782150000,22770000,2007-02-23,2007-02-23,2007-12-24,303.0
C2004031,3,2006년,1200000000,1160200000,39800000,0,2006-02-21,2006-02-24,2006-11-28,276.0
C2004031,2,2005년,2500000000,2456297000,43703000,0,2005-01-28,2005-02-02,2005-12-23,323.0
C2004031,1,2004년,3393502000,2605792000,394208000,393502000,2004-05-06,2004-05-13,2004-12-23,223.0
C2004031,0,전체,14141090000,8660000000,5054880000,426210000,2004-05-06,2004-05-13,2008-12-31,1692.0
C2003112,5,2016년,113434588000,111575588000,0,1859000000,2007-02-20,2007-02-27,2016-12-31,3594.0
C2003112,4,2006년,5383000000,5383000000,0,0,2006-03-06,2006-03-10,2006-12-31,295.0
C2003112,3,2005년,8703000000,7183000000,0,1520000000,2005-02-02,2005-02-03,2005-12-31,330.0
C2003112,2,2004년,18763000000,3980000000,0,14783000000,2004-02-13,2004-02-16,2004-12-20,307.0
C2003112,1,2003년,3300000000,1000000000,0,2300000000,2003-06-03,2003-06-12,2003-12-31,201.0
C2003112,0,전체,116671000000,95764588000,0,20906412000,2003-06-03,2003-06-12,2016-12-31,4950.0
C2005069,4,2014년,113060678000,75106000000,14115678000,23839000000,2008-02-19,2008-02-20,2014-07-23,2344.0
C2005069,3,2007년,5109000000,2991000000,18000000,2100000000,2007-02-14,2007-02-15,2007-12-31,318.0
C2005069,2,2006년,3032000000,1500000000,0,1532000000,2006-02-13,2006-02-14,2006-12-31,319.0
C2005069,1,2005년,2520000000,10000000,0,2510000000,2005-12-15,2005-12-20,2005-12-21,0.0
C2005069,0,전체,123721678000,79607000000,14133678000,29981000000,2005-12-15,2005-12-20,2014-07-23,3136.0
C2009055,4,2013년,3782000000,3634000000,0,148000000,2012-02-09,2012-02-10,2012-12-20,313.0
C2009055,3,2012년,6146000000,4800000000,0,1346000000,2011-02-07,2011-02-09,2011-12-21,314.0
C2009055,2,2010년,3881000000,3300000000,0,581000000,2010-01-27,2010-01-28,2010-12-20,325.0
C2009055,1,2009년,400000000,400000000,0,0,2009-02-17,2009-02-24,2009-12-31,309.0
C2009055,0,전체,15087545000,11587545000,0,3500000000,2009-02-17,2009-02-24,2012-12-20,1394.0
C2012010,5,2015년,4262000000,2340795620,1921204380,0,2015-01-28,2015-01-28,2015-10-18,262.0
C2012010,4,2015년,2709000000,2600194780,85805220,23000000,2014-02-13,2014-02-17,2014-12-15,300.0
C2012010,3,2013년,4500000000,4491149600,8850400,0,2013-04-24,2013-04-25,2013-12-24,242.0
C2012010,2,2013년,2975000000,2975000000,0,0,2012-03-08,2012-03-12,2013-05-28,441.0
C2012010,1,2012년,10000000,10000000,0,0,2012-01-27,2012-02-10,2012-03-10,28.0
C2012010,0,전체,15447724500,12587536100,2830188400,30000000,2012-01-27,2012-02-10,2015-10-18,1345.0
C2013937,1,2014년,8422772000,8422772000,0,0,2013-03-15,2013-03-18,2014-02-10,328.0
C2013937,0,전체,10223000000,10223000000,0,0,2013-03-15,2013-03-18,2014-02-10,328.0
C2015006,5,2018년,7395000000,6442992750,951007250,1000000,2018-01-17,2018-01-18,2018-12-28,343.0
C2015006,4,2018년,7853000000,7110252500,523747500,219000000,2017-01-18,2017-01-23,2018-01-17,358.0
C2015006,3,2017년,7785000000,4870300000,129700000,2785000000,2016-01-28,2016-01-28,2016-12-16,322.0
C2015006,2,2015년,5114000000,3460021300,853978700,800000000,2015-05-08,2015-05-08,2015-12-15,220.0
C2015006,1,2015년,1100000,1100000,0,0,2015-03-06,2015-03-16,2015-05-14,58.0
C2015006,0,전체,28148100000,21884666550,2458433450,3805000000,2015-03-06,2015-03-16,2018-12-28,1382.0
C2015008,7,2020년,1362971000,928186620,414784380,20000000,2020-03-02,2020-03-05,2020-07-02,118.0
C2015008,6,2020년,11513971000,8904795620,1902204380,706971000,2019-01-23,2019-01-24,2020-03-18,418.0
C2015008,5,2018년,9000000000,7036570000,963430000,1000000000,2018-01-12,2018-01-15,2018-12-28,346.0
C2015008,4,2017년,6112000000,4101404000,1398596000,612000000,2017-01-20,2017-01-23,2017-12-26,336.0
C2015008,3,2016년,11441000000,3553062000,6887938000,1000000000,2016-01-28,2016-01-28,2016-12-31,337.0
C2015008,2,2016년,6010000000,4780000000,230000000,1000000000,2015-05-08,2015-05-08,2016-02-03,270.0
C2015008,1,2015년,10000000,10000000,0,0,2015-03-06,2015-03-16,2015-05-14,58.0
C2015008,0,전체,29068740000,23035880000,3534860000,2498000000,2015-03-06,2015-03-16,2020-07-02,1934.0
C2015009,6,2019년,2134600000,1636102300,498497700,0,2019-01-23,2019-01-24,2019-07-22,178.0
C2015009,5,2018년,3615000000,2979380000,625620000,10000000,2018-01-12,2018-01-15,2018-12-28,346.0
C2015009,4,2017년,4941000000,4061960000,438040000,441000000,2017-01-23,2017-01-23,2018-01-17,358.0
C2015009,3,2016년,7015000000,3272620430,627379570,3115000000,2016-01-28,2016-01-28,2016-12-22,328.0
C2015009,2,2015년,5200000000,4000000000,0,1200000000,2015-05-08,2015-05-08,2015-12-24,229.0
C2015009,1,2015년,10000000,10000000,0,0,2015-03-09,2015-03-16,2015-05-14,58.0
C2015009,0,전체,24534500000,14665919940,4363580060,5505000000,2015-03-09,2015-03-16,2019-07-22,1588.0
C2004091,8,2011년,2013000000,2013000000,0,0,2011-01-27,2011-01-27,2011-12-31,337.0
C2004091,7,2010년,5800000000,4036600000,163400000,1600000000,2010-01-25,2010-01-28,2010-12-31,336.0
C2004091,6,2009년,5451462880,5100000000,0,351462880,2008-12-30,2008-12-31,2009-12-24,357.0
C2004091,5,2008년,2074000000,2074000000,0,0,2008-03-19,2008-03-20,2008-11-14,238.0
